N	L	T	p
20	90	2.005703	0.000012
20	90	4.501933	0.000025
40	30	40.300624	0.003589
20	90	8.001126	0.000041
20	90	12.499479	0.000060
70	10	532142864261616101056543981568.000000	880528508193513.500000
20	90	17.995599	0.000090
40	40	0.554562	0.000026
20	90	24.498831	0.000127
20	90	31.995986	0.000164
20	90	40.493853	0.000204
20	100	0.502424	0.000002
40	40	2.046813	0.000100
20	100	2.001374	0.000010
20	100	4.501710	0.000020
20	100	8.000542	0.000037
20	100	12.501751	0.000050
40	40	4.540856	0.000222
20	100	17.995380	0.000077
20	100	24.495770	0.000101
70	20	1.765944	0.000615
90	10	10196442490901489017608544662906510245888.000000	98750098060274532352.000000
20	100	31.991625	0.000130
20	100	40.493308	0.000164
40	40	8.018233	0.000421
30	10	2.831830	0.001775
40	40	12.501752	0.000632
30	10	4.233334	0.002625
30	10	6.590474	0.003876
40	40	17.986230	0.000915
70	20	3.201415	0.001124
30	10	9.876850	0.005898
40	40	24.461386	0.001224
30	10	14.140499	0.008338
40	40	31.936484	0.001599
30	10	19.360650	0.011367
30	10	25.522859	0.015874
90	10	2295516212965755958161404067840.000000	2001213067529797.500000
40	40	40.384897	0.002030
30	10	32.689436	0.019840
70	20	5.613207	0.001926
30	10	40.637644	0.025281
40	50	0.526511	0.000016
30	20	0.673524	0.000104
40	50	2.019940	0.000067
30	20	2.104902	0.000315
30	20	4.587436	0.000698
40	50	4.519312	0.000149
70	20	9.002609	0.003231
30	20	8.040816	0.001270
30	20	12.481806	0.001882
40	50	8.020419	0.000255
30	20	17.914693	0.002755
40	50	12.500187	0.000407
30	20	24.346803	0.003750
90	10	3597359880989133141506576088220268429836288.000000	1924481007208137490432.000000
30	20	31.775309	0.004891
40	50	17.988208	0.000581
70	20	13.370003	0.004667
30	20	40.161786	0.006144
30	30	0.582349	0.000043
40	50	24.477862	0.000795
30	30	2.059048	0.000140
40	50	31.952695	0.001001
30	30	4.542269	0.000312
30	30	8.025908	0.000550
40	50	40.437810	0.001313
30	30	12.505938	0.000837
70	20	18.728236	0.006501
30	30	17.986801	0.001188
40	60	0.515880	0.000011
30	30	24.450022	0.001598
90	10	1262053176162619206097531632114154340352.000000	41640578848324075520.000000
40	60	2.012979	0.000049
30	30	31.935775	0.002177
30	30	40.396627	0.002644
40	60	4.512259	0.000104
30	40	0.525396	0.000020
70	20	25.030529	0.008849
30	40	2.029258	0.000073
40	60	8.009258	0.000179
30	40	4.522137	0.000169
30	40	8.013704	0.000310
40	60	12.501204	0.000278
30	40	12.506054	0.000477
40	60	17.993028	0.000405
30	40	17.987726	0.000686
30	40	24.463690	0.000925
70	20	32.343376	0.011330
90	20	0.991358	0.000401
40	60	24.486876	0.000545
30	40	31.955750	0.001195
30	40	40.435615	0.001527
40	60	31.970146	0.000708
30	50	0.514442	0.000014
40	60	40.454299	0.000899
30	50	2.014286	0.000056
30	50	4.522157	0.000108
70	20	40.607737	0.014016
40	70	0.508613	0.000009
30	50	8.007596	0.000205
30	50	12.501843	0.000309
40	70	2.008547	0.000034
30	50	17.993482	0.000440
40	70	4.509393	0.000077
90	20	2.327642	0.001084
30	50	24.481055	0.000599
30	50	31.968504	0.000782
70	30	0.675886	0.000112
40	70	8.006229	0.000138
30	50	40.458834	0.000989
40	70	12.500383	0.000209
30	60	0.511165	0.000009
30	60	2.010093	0.000035
40	70	17.992858	0.000294
30	60	4.507897	0.000078
30	60	8.008974	0.000140
70	30	2.088852	0.000329
40	70	24.487927	0.000406
30	60	12.499452	0.000215
30	60	17.996990	0.000311
40	70	31.979672	0.000539
90	20	4.704082	0.002128
30	60	24.484823	0.000420
40	70	40.479299	0.000662
30	60	31.979246	0.000534
30	60	40.470511	0.000687
40	80	0.508409	0.000007
70	30	4.551775	0.000714
30	70	0.506400	0.000007
30	70	2.007738	0.000026
40	80	2.008269	0.000027
30	70	4.507883	0.000062
30	70	8.003036	0.000107
40	80	4.506301	0.000058
30	70	12.499969	0.000163
70	30	8.010624	0.001234
40	80	8.003776	0.000105
30	70	17.998534	0.000227
30	70	24.488002	0.000305
90	20	8.057292	0.003816
40	80	12.499381	0.000158
30	70	31.981320	0.000404
30	70	40.471468	0.000513
40	80	17.996806	0.000228
30	80	0.505472	0.000006
70	30	12.451570	0.001929
30	80	2.012841	0.000020
40	80	24.488470	0.000318
30	80	4.503837	0.000045
30	80	8.002912	0.000077
40	80	31.983035	0.000403
30	80	12.499257	0.000127
40	80	40.478841	0.000512
30	80	17.996705	0.000175
30	80	24.491357	0.000233
70	30	17.889049	0.002850
40	90	0.511165	0.000005
90	20	12.381907	0.005564
30	80	31.989696	0.000304
30	80	40.481929	0.000390
40	90	2.003965	0.000022
30	90	0.504532	0.000004
30	90	2.004018	0.000017
40	90	4.507939	0.000046
30	90	4.504656	0.000035
70	30	24.305921	0.003811
40	90	8.000871	0.000084
30	90	8.004121	0.000060
30	90	12.500998	0.000094
40	90	12.502704	0.000130
30	90	17.997142	0.000136
30	90	24.493644	0.000184
40	90	17.997305	0.000181
90	20	17.677860	0.008062
30	90	31.990662	0.000240
30	90	40.486197	0.000314
70	30	31.728429	0.005045
40	90	24.492023	0.000248
30	100	0.503068	0.000003
40	90	31.987098	0.000318
30	100	2.003479	0.000014
30	100	4.505821	0.000029
40	90	40.479236	0.000413
30	100	8.001944	0.000051
30	100	12.500048	0.000078
70	30	40.138161	0.006305
40	100	0.504922	0.000005
30	100	17.999028	0.000110
40	100	2.005646	0.000019
30	100	24.498036	0.000152
90	20	23.942128	0.010523
30	100	31.992304	0.000191
40	100	4.504937	0.000034
30	100	40.489741	0.000258
70	40	0.599929	0.000056
40	100	8.002894	0.000069
40	100	12.500297	0.000099
40	100	17.997261	0.000150
40	100	24.490023	0.000198
70	40	2.084111	0.000188
40	100	31.984483	0.000256
90	20	31.150693	0.014013
40	100	40.487120	0.000329
70	40	4.544719	0.000395
50	10	4042272020071039107072.000000	44953449714.263641
50	10	4042272020093908549632.000000	44953449714.349823
70	40	8.024358	0.000699
90	20	39.341159	0.017955
50	10	4042272020072497676288.000000	44953449714.240807
70	40	12.491321	0.001092
50	10	4042272020093907501056.000000	44953449714.364700
50	10	4042272019998865620992.000000	44953449713.844986
90	30	0.752068	0.000145
70	40	17.964776	0.001584
50	10	4042272020014580629504.000000	44953449713.925186
70	40	24.409395	0.002177
50	10	4042272020072497676288.000000	44953449714.218819
90	30	2.151885	0.000434
50	10	4042272020175370846208.000000	44953449714.849480
70	40	31.872280	0.002827
50	10	4042272020175677554688.000000	44953449714.825974
50	20	60230636113500.257812	2743651.754639
70	40	40.320690	0.003560
50	20	60230635987963.328125	2743651.752141
90	30	4.617590	0.000952
70	50	0.579581	0.000036
50	20	60230630757374.484375	2743651.633580
50	20	60230638901502.773438	2743651.819930
70	50	2.046221	0.000118
50	20	60230641216438.062500	2743651.873755
90	30	8.055787	0.001664
50	20	60230629877919.445312	2743651.616810
70	50	4.547285	0.000258
50	20	60230633200031.515625	2743651.694039
50	20	60230644309834.906250	2743651.949055
70	50	8.022380	0.000447
90	30	12.475932	0.002484
50	20	60230623596539.046875	2743651.479110
50	30	1589087723.020398	9395.133200
70	50	12.500152	0.000721
50	30	1589097627.060436	9395.162634
90	30	17.899418	0.003597
50	30	1589081227.107427	9395.114387
70	50	17.980915	0.001019
50	30	1589103609.116426	9395.180923
50	30	1589046706.345604	9395.013222
70	50	24.447855	0.001409
50	30	1589087830.342586	9395.135360
90	30	24.296740	0.005004
70	50	31.927298	0.001770
50	30	1589073014.081763	9395.092204
50	30	1589115960.374249	9395.220118
70	50	40.392856	0.002262
50	30	1589009182.000680	9394.905222
90	30	31.686886	0.006385
50	40	19270478830872102436864.000000	29560785110.120201
70	60	0.556146	0.000026
50	40	146335831374705486009991168.000000	2310915910897.625977
50	40	250685110114361666377393111040.000000	108542610845164.593750
70	60	2.033632	0.000084
90	30	40.049723	0.008049
50	40	9164280945236070679690870784.000000	24428646158739.074219
50	40	1336951873020151463936.000000	7837656654.960039
70	60	4.522746	0.000182
50	40	617793366493303309351256064.000000	7501013922598.068359
90	40	0.670380	0.000076
70	60	8.011300	0.000326
50	40	10956696289004918669312.000000	19384284223.229237
50	40	40876194457791116607488.000000	42034819778.367325
70	60	12.505229	0.000487
50	40	44621655322690569899846567723008.000000	1451739365768812.500000
90	40	2.102932	0.000238
50	50	9828046561816500990068125597696.000000	546520675700099.750000
70	60	17.984984	0.000710
50	50	1991184349565280131661267206144.000000	247515922638441.312500
70	60	24.469971	0.000972
50	50	514967745016722427478016.000000	140305257519.600159
90	40	4.574588	0.000527
50	50	910984881.542228	6683.079160
70	60	31.943906	0.001257
50	50	138943089811847911571456.000000	97635633448.667328
50	50	24355402478378444.000000	32008712.955417
70	60	40.424244	0.001579
90	40	8.039219	0.000934
50	50	1380886436259413113459397623808.000000	181421146436633.093750
50	50	5196779919867757568.000000	753528656.619537
70	70	0.534567	0.000014
50	50	7639341474884823166205558784.000000	16600501893575.177734
70	70	2.018241	0.000058
90	40	12.497099	0.001424
50	60	30.024709	0.000839
50	60	33.340470	0.000934
70	70	4.520825	0.000138
50	60	36.708655	0.001024
50	60	41.700827	0.001152
90	40	17.959191	0.002030
70	70	8.012874	0.000232
50	60	44.953754	0.001241
50	60	47.926160	0.001335
70	70	12.500086	0.000363
50	60	48.779918	0.001334
90	40	24.394475	0.002801
50	60	56.770092	0.001589
70	70	17.989643	0.000505
50	60	72.336474	0.002018
50	70	5.152198	0.000107
70	70	24.478811	0.000701
50	70	6.652239	0.000136
90	40	31.834337	0.003662
50	70	9.153642	0.000189
70	70	31.964426	0.000917
50	70	12.645256	0.000259
50	70	17.140496	0.000348
70	70	40.443879	0.001174
90	40	40.267766	0.004590
50	70	22.701872	0.000467
50	70	29.119625	0.000601
70	80	0.519829	0.000012
50	70	36.659755	0.000748
90	50	0.597786	0.000046
50	70	45.113945	0.000933
70	80	2.013238	0.000047
50	80	1.303918	0.000020
50	80	2.805666	0.000046
70	80	4.513649	0.000102
50	80	5.305446	0.000085
90	50	2.074158	0.000159
50	80	8.802182	0.000134
70	80	8.008440	0.000182
50	80	13.296966	0.000216
70	80	12.506828	0.000274
50	80	18.794682	0.000302
90	50	4.548828	0.000336
50	80	25.283899	0.000401
70	80	17.994312	0.000401
50	80	32.789126	0.000505
50	80	41.284907	0.000648
70	80	24.484383	0.000543
90	50	8.037622	0.000588
50	90	0.626067	0.000008
50	90	2.128184	0.000028
70	80	31.971602	0.000727
50	90	4.628378	0.000057
50	90	8.126483	0.000099
90	50	12.511589	0.000900
70	80	40.457174	0.000883
50	90	12.620377	0.000159
50	90	18.117567	0.000231
70	90	0.512847	0.000011
50	90	24.608001	0.000304
90	50	17.975488	0.001313
50	90	32.098804	0.000403
70	90	2.010424	0.000040
50	90	40.598911	0.000501
50	100	0.502118	0.000005
70	90	4.509015	0.000080
90	50	24.447514	0.001776
50	100	2.005840	0.000019
50	100	4.507915	0.000045
70	90	8.005164	0.000140
50	100	8.000129	0.000075
50	100	12.497246	0.000123
90	50	31.903421	0.002303
70	90	12.502191	0.000219
50	100	17.993000	0.000185
50	100	24.493236	0.000237
70	90	17.994264	0.000324
50	100	31.981957	0.000318
90	50	40.360544	0.002897
50	100	40.481379	0.000401
70	90	24.485516	0.000423
60	10	595198046.181806	37792.152944
70	90	31.977432	0.000553
90	60	0.551248	0.000030
60	10	595193861.293771	37792.021188
70	90	40.469451	0.000701
60	10	595184445.454873	37791.724673
70	100	0.507758	0.000008
90	60	2.045866	0.000108
60	10	595181366.119623	37791.629896
70	100	2.008307	0.000029
60	10	595188723.086967	37791.867231
90	60	4.529479	0.000232
60	10	595193597.120359	37792.027908
70	100	4.518889	0.000064
60	10	595172008.003231	37791.348843
70	100	8.004289	0.000112
90	60	8.018786	0.000393
60	10	595189094.306648	37791.898413
70	100	12.503016	0.000172
60	10	595169787.267770	37791.293463
70	100	17.994984	0.000261
60	20	35.204527	0.010341
90	60	12.501974	0.000642
70	100	24.486903	0.000355
60	20	36.667993	0.011113
60	20	39.243086	0.011617
70	100	31.979558	0.000463
90	60	17.985360	0.000922
60	20	42.583854	0.012840
70	100	40.473722	0.000567
60	20	47.960322	0.014506
90	60	24.458878	0.001259
60	20	52.645654	0.015589
80	10	37863141967102115473942487498752.000000	4441508585577549.500000
60	20	58.874777	0.017534
60	20	67.378028	0.020190
90	60	31.933124	0.001641
80	10	8526564042464400107800363008.000000	220800271649381.281250
60	20	75.317385	0.022747
60	30	0.710941	0.000093
90	60	40.407648	0.002043
80	10	5066728513048238703719219200.000000	180199462202536.625000
60	30	2.151748	0.000292
60	30	4.621203	0.000622
80	10	484977580230329638263908728832.000000	659857870787001.250000
90	70	0.529464	0.000022
60	30	8.088606	0.001070
60	30	12.533131	0.001678
80	10	8798527826066276763444445184.000000	222361218419234.406250
90	70	2.034606	0.000079
60	30	17.983461	0.002322
60	30	24.419762	0.003320
80	10	5066687969737278101508849664.000000	180060031448024.562500
60	30	31.837967	0.004320
90	70	4.521543	0.000168
60	30	40.257555	0.005469
80	10	22899743519482244645623563288576.000000	2091994312760912.750000
60	40	0.564404	0.000042
90	70	8.015029	0.000304
60	40	2.030838	0.000153
80	10	5066687969737277001997221888.000000	180060031448024.531250
60	40	4.505691	0.000348
90	70	12.502757	0.000461
60	40	7.992946	0.000608
80	10	5066687969737282499555360768.000000	180060032789559.125000
60	40	12.466594	0.000941
60	40	17.932573	0.001371
80	20	75499255889413029888.000000	10989971901.077299
90	70	17.984365	0.000651
60	40	24.397237	0.001858
60	40	31.859720	0.002396
80	20	75499255892053065728.000000	10989971901.280123
90	70	24.471687	0.000916
60	40	40.317873	0.003048
80	20	75499255888445423616.000000	10989971901.032513
60	50	0.551955	0.000025
90	70	31.947832	0.001198
60	50	2.034272	0.000099
80	20	75499255885471416320.000000	10989971900.804558
60	50	4.535791	0.000214
60	50	8.008529	0.000399
90	70	40.431990	0.001498
80	20	75499255890593169408.000000	10989971901.174150
60	50	12.490551	0.000612
60	50	17.972646	0.000863
80	20	75499255892366032896.000000	10989971901.287395
90	80	0.524644	0.000016
60	50	24.452197	0.001175
80	20	75499255886025670656.000000	10989971900.854826
60	50	31.913079	0.001533
90	80	2.021921	0.000060
60	50	40.402090	0.001946
80	20	75499255870171643904.000000	10989971899.700182
60	60	0.517556	0.000020
60	60	2.025735	0.000066
90	80	4.517747	0.000128
80	20	75499255886497120256.000000	10989971900.881409
60	60	4.526256	0.000151
80	30	1993209928873579.500000	37645277.967980
60	60	8.013912	0.000267
90	80	8.010155	0.000227
60	60	12.500413	0.000419
80	30	1993209915817937.250000	37645277.844880
60	60	17.982789	0.000615
90	80	12.500578	0.000360
60	60	24.472331	0.000816
80	30	1993209924566426.500000	37645277.927953
60	60	31.947430	0.001070
90	80	17.991724	0.000505
80	30	1993209920563471.750000	37645277.890656
60	60	40.435773	0.001358
60	70	0.522705	0.000017
80	30	1993209917306615.250000	37645277.860542
60	70	2.019155	0.000051
90	80	24.476278	0.000692
60	70	4.516064	0.000114
80	30	1993209925921572.250000	37645277.942752
60	70	8.008374	0.000198
90	80	31.963270	0.000910
60	70	12.504874	0.000311
80	30	1993209926887695.000000	37645277.952868
60	70	17.993393	0.000439
80	30	1993209967736416.000000	37645278.339721
90	80	40.440105	0.001140
60	70	24.486549	0.000613
60	70	31.967174	0.000780
80	30	1993210010085641.250000	37645278.741074
60	70	40.462026	0.001009
90	90	0.516757	0.000015
60	80	0.519573	0.000009
80	40	1124761202224.241699	670695.533849
60	80	2.013484	0.000038
90	90	2.014762	0.000051
60	80	4.515914	0.000086
80	40	1124761174427.021729	670695.525708
60	80	8.005651	0.000153
90	90	4.511498	0.000112
80	40	1124760656331.963623	670695.371445
60	80	12.504995	0.000244
60	80	17.991842	0.000344
80	40	1124761208500.248535	670695.536396
60	80	24.482750	0.000459
90	90	8.006975	0.000188
60	80	31.976363	0.000602
80	40	1124761060047.927734	670695.492515
60	80	40.461060	0.000757
90	90	12.500548	0.000284
80	40	1124761073681.268311	670695.497041
60	90	0.508994	0.000008
60	90	2.011510	0.000033
80	40	1124760979956.267578	670695.469716
90	90	17.992157	0.000401
60	90	4.506986	0.000067
60	90	8.003354	0.000119
80	40	1124760971923.993652	670695.468061
60	90	12.505165	0.000186
90	90	24.482080	0.000549
60	90	17.993616	0.000276
80	40	1124761553976.777100	670695.642123
60	90	24.494302	0.000363
90	90	31.971313	0.000735
60	90	31.982307	0.000480
80	50	3397083936.924839	29487.528732
60	90	40.471812	0.000593
80	50	3397067882.900027	29487.459140
90	90	40.454517	0.000911
60	100	0.507206	0.000006
60	100	2.008102	0.000026
80	50	3397116157.862736	29487.668790
60	100	4.504881	0.000057
90	100	0.517752	0.000010
60	100	8.003559	0.000100
80	50	3397068400.212226	29487.461702
60	100	12.504043	0.000159
90	100	2.013072	0.000037
80	50	3397077425.557157	29487.501133
60	100	17.996436	0.000220
60	100	24.490973	0.000294
90	100	4.511533	0.000087
80	50	3397087769.481297	29487.546298
60	100	31.985841	0.000395
60	100	40.480269	0.000484
80	50	3397074012.922767	29487.486972
90	100	8.006590	0.000148
80	50	3397120474.961757	29487.688944
90	100	12.502703	0.000235
80	50	3397081084.678659	29487.518470
90	100	17.993454	0.000339
80	60	1929104236185183304296073003008.000000	343057633207812.625000
90	100	24.485937	0.000455
80	60	19882611232359807158773085541043798016.000000	750559295696715648.000000
80	60	20069241372845118699593488378040656708239360.000000	782635485676874235904.000000
90	100	31.973802	0.000588
80	60	5304020338081658235190886580655518384128.000000	12021275026403416064.000000
90	100	40.466026	0.000737
80	60	1035709148814323248661192763244544.000000	8412172218166436.000000
80	60	49694684474913582916038557696.000000	57712080271234.882812
100	10	1.163850	0.002385
80	60	817517274305985691175092224.000000	9697467826778.285156
100	10	2.005830	0.003722
80	60	26140102129953447935446434281684992.000000	28223413686706904.000000
80	60	4634516552309966839258995718147276800.000000	454920881279697152.000000
100	10	3.287914	0.006295
80	70	86541546485233116774400.000000	111637189906.826614
80	70	3686652055714847694782464.000000	446793246711.963989
100	10	5.242492	0.010928
80	70	29599123063146231532548521984.000000	28541813087628.445312
80	70	32059271926727779187836321792.000000	33773206043688.972656
100	10	8.026139	0.015575
80	70	44981619111490961883570879439776514048.000000	1211454618284414720.000000
80	70	162425239654920185973238136832.000000	71801848769205.796875
100	10	11.722655	0.023337
80	70	2439843375061676824706851971978526373097504768.000000	7429408759144675016704.000000
100	10	16.168360	0.032416
80	70	8327113463366866203854302526595661824.000000	521045757983716288.000000
80	70	4973490243322982032350212259840.000000	404054366420336.500000
100	10	21.127852	0.043575
80	80	24870878357.936272	60054.726721
80	80	17951278370312041674047488.000000	606840337976.880859
100	10	27.240801	0.055660
80	80	265391694744332793010936872960.000000	71960164361180.281250
100	20	1.017586	0.000506
80	80	565855663973280925089792.000000	114357914823.933151
80	80	254075795041334622841127043072.000000	75011355992459.843750
100	20	2.386903	0.001175
80	80	1604575453275980289529157087333973833784500638711808.000000	3928678718401541885132800.000000
100	20	4.744915	0.002318
80	80	17642594918474358064358631350992896.000000	19495181972581932.000000
80	80	16494061835207627495183474491392.000000	798255561265147.250000
100	20	8.088306	0.004113
80	80	27624835274827850775003136.000000	1033960406199.310181
100	20	12.403172	0.006142
80	90	16835926746629887293934530461696.000000	564196094987242.625000
80	90	151876133218711181983744.000000	68689223552.200249
100	20	17.639695	0.008783
80	90	2680139312178094834087687306146226372608.000000	6908016843506763776.000000
100	20	23.877604	0.011833
80	90	39550747828546975536708118448424615936.000000	863957723485804288.000000
80	90	6891426557676342980754014208.000000	9778038864782.626953
100	20	31.059750	0.015448
80	90	543166587822144657409937611727843119595520.000000	94815971283133546496.000000
100	20	39.257240	0.019784
80	90	5109143708223440153444223234867200.000000	9916321332472426.000000
80	90	528747167621518538571776.000000	111900883695.808533
100	30	0.764789	0.000169
80	90	141571318749939355158921414696911836807168.000000	48877299830431571968.000000
100	30	2.218831	0.000482
80	100	93.478709	0.001483
80	100	95.630718	0.001530
100	30	4.642376	0.000993
80	100	106.793114	0.001697
100	30	8.083702	0.001812
80	100	103.617218	0.001675
80	100	103.789135	0.001681
100	30	12.504207	0.002770
80	100	112.629230	0.001806
100	30	17.907390	0.003859
80	100	118.978705	0.001927
80	100	130.137840	0.002100
100	30	24.286099	0.005311
80	100	140.127011	0.002253
100	30	31.664506	0.007023
100	30	40.016872	0.008820
100	40	0.659520	0.000076
100	40	2.111443	0.000260
100	40	4.583059	0.000569
100	40	8.048841	0.001009
100	40	12.509810	0.001576
100	40	17.947634	0.002263
100	40	24.394148	0.003066
100	40	31.821807	0.003898
100	40	40.246338	0.004999
100	50	0.593618	0.000047
100	50	2.076778	0.000161
100	50	4.552308	0.000354
100	50	8.030092	0.000651
100	50	12.502777	0.000986
100	50	17.974518	0.001438
100	50	24.436535	0.001975
100	50	31.893794	0.002580
100	50	40.343436	0.003206
100	60	0.564433	0.000028
100	60	2.055847	0.000113
100	60	4.530794	0.000252
100	60	8.020916	0.000444
100	60	12.502753	0.000703
100	60	17.985889	0.001003
100	60	24.458477	0.001361
100	60	31.923813	0.001758
100	60	40.391428	0.002207
100	70	0.534376	0.000020
100	70	2.037380	0.000087
100	70	4.522709	0.000184
100	70	8.012210	0.000327
100	70	12.497688	0.000514
100	70	17.984546	0.000737
100	70	24.467232	0.000989
100	70	31.944519	0.001314
100	70	40.421319	0.001637
100	80	0.525102	0.000015
100	80	2.024657	0.000061
