POSICION_X	POSICION_Y
5.454558	0.000000
5.454558	0.000449
5.454557	0.000899
5.454557	0.001348
5.454557	0.001798
5.454557	0.002247
5.454557	0.002697
5.454557	0.003146
5.454556	0.003595
5.454556	0.004045
5.454556	0.004494
5.454556	0.004944
5.454555	0.005393
5.454555	0.005843
5.454554	0.006292
5.454554	0.006741
5.454553	0.007191
5.454553	0.007640
5.454552	0.008090
5.454551	0.008539
5.454551	0.008988
5.454550	0.009438
5.454549	0.009887
5.454549	0.010337
5.454548	0.010786
5.454547	0.011236
5.454546	0.011685
5.454545	0.012134
5.454544	0.012584
5.454543	0.013033
5.454542	0.013483
5.454541	0.013932
5.454540	0.014382
5.454539	0.014831
5.454538	0.015280
5.454537	0.015730
5.454536	0.016179
5.454535	0.016629
5.454533	0.017078
5.454532	0.017528
5.454531	0.017977
5.454529	0.018426
5.454528	0.018876
5.454526	0.019325
5.454525	0.019775
5.454524	0.020224
5.454522	0.020673
5.454520	0.021123
5.454519	0.021572
5.454517	0.022022
5.454516	0.022471
5.454514	0.022921
5.454512	0.023370
5.454510	0.023819
5.454509	0.024269
5.454507	0.024718
5.454505	0.025168
5.454503	0.025617
5.454501	0.026067
5.454499	0.026516
5.454497	0.026965
5.454495	0.027415
5.454493	0.027864
5.454491	0.028314
5.454489	0.028763
5.454487	0.029212
5.454484	0.029662
5.454482	0.030111
5.454480	0.030561
5.454478	0.031010
5.454475	0.031460
5.454473	0.031909
5.454470	0.032358
5.454468	0.032808
5.454466	0.033257
5.454463	0.033707
5.454461	0.034156
5.454458	0.034605
5.454455	0.035055
5.454453	0.035504
5.454450	0.035954
5.454447	0.036403
5.454445	0.036853
5.454442	0.037302
5.454439	0.037751
5.454436	0.038201
5.454433	0.038650
5.454430	0.039100
5.454427	0.039549
5.454424	0.039998
5.454421	0.040448
5.454418	0.040897
5.454415	0.041347
5.454412	0.041796
5.454409	0.042245
5.454406	0.042695
5.454403	0.043144
5.454399	0.043594
5.454396	0.044043
5.454393	0.044493
5.454390	0.044942
5.454386	0.045391
5.454383	0.045841
5.454379	0.046290
5.454376	0.046740
5.454372	0.047189
5.454369	0.047638
5.454365	0.048088
5.454362	0.048537
5.454358	0.048987
5.454354	0.049436
5.454351	0.049885
5.454347	0.050335
5.454343	0.050784
5.454339	0.051234
5.454335	0.051683
5.454331	0.052132
5.454328	0.052582
5.454324	0.053031
5.454320	0.053481
5.454316	0.053930
5.454312	0.054380
5.454308	0.054829
5.454303	0.055278
5.454299	0.055728
5.454295	0.056177
5.454291	0.056627
5.454287	0.057076
5.454282	0.057525
5.454278	0.057975
5.454274	0.058424
5.454269	0.058874
5.454265	0.059323
5.454260	0.059772
5.454256	0.060222
5.454251	0.060671
5.454247	0.061121
5.454242	0.061570
5.454238	0.062019
5.454233	0.062469
5.454228	0.062918
5.454224	0.063368
5.454219	0.063817
5.454214	0.064266
5.454209	0.064716
5.454204	0.065165
5.454199	0.065615
5.454195	0.066064
5.454190	0.066513
5.454185	0.066963
5.454180	0.067412
5.454175	0.067861
5.454169	0.068311
5.454164	0.068760
5.454159	0.069210
5.454154	0.069659
5.454149	0.070108
5.454143	0.070558
5.454138	0.071007
5.454133	0.071457
5.454127	0.071906
5.454122	0.072355
5.454117	0.072805
5.454111	0.073254
5.454106	0.073704
5.454100	0.074153
5.454095	0.074602
5.454089	0.075052
5.454083	0.075501
5.454078	0.075950
5.454072	0.076400
5.454066	0.076849
5.454061	0.077299
5.454055	0.077748
5.454049	0.078197
5.454043	0.078647
5.454037	0.079096
5.454031	0.079546
5.454025	0.079995
5.454019	0.080444
5.454013	0.080894
5.454007	0.081343
5.454001	0.081792
5.453995	0.082242
5.453989	0.082691
5.453983	0.083141
5.453976	0.083590
5.453970	0.084039
5.453964	0.084489
5.453957	0.084938
5.453951	0.085387
5.453945	0.085837
5.453938	0.086286
5.453932	0.086736
5.453925	0.087185
5.453919	0.087634
5.453912	0.088084
5.453906	0.088533
5.453899	0.088982
5.453892	0.089432
5.453886	0.089881
5.453879	0.090331
5.453872	0.090780
5.453865	0.091229
5.453858	0.091679
5.453852	0.092128
5.453845	0.092577
5.453838	0.093027
5.453831	0.093476
5.453824	0.093925
5.453817	0.094375
5.453810	0.094824
5.453803	0.095274
5.453795	0.095723
5.453788	0.096172
5.453781	0.096622
5.453774	0.097071
5.453767	0.097520
5.453759	0.097970
5.453752	0.098419
5.453745	0.098868
5.453737	0.099318
