POSICION_X	POSICION_Y
1.665992	0.000000
1.665992	0.000705
1.665991	0.001411
1.665991	0.002116
1.665989	0.002822
1.665988	0.003527
1.665986	0.004233
1.665983	0.004938
1.665981	0.005644
1.665978	0.006349
1.665974	0.007055
1.665970	0.007760
1.665966	0.008466
1.665962	0.009171
1.665957	0.009877
1.665952	0.010582
1.665946	0.011288
1.665940	0.011993
1.665934	0.012698
1.665927	0.013404
1.665920	0.014109
1.665913	0.014815
1.665905	0.015520
1.665897	0.016226
1.665888	0.016931
1.665880	0.017636
1.665870	0.018342
1.665861	0.019047
1.665851	0.019753
1.665841	0.020458
1.665830	0.021164
1.665819	0.021869
1.665808	0.022574
1.665796	0.023280
1.665784	0.023985
1.665772	0.024691
1.665759	0.025396
1.665746	0.026101
1.665732	0.026807
1.665718	0.027512
1.665704	0.028217
1.665689	0.028923
1.665674	0.029628
1.665659	0.030333
1.665643	0.031039
1.665627	0.031744
1.665611	0.032449
1.665594	0.033155
1.665577	0.033860
1.665560	0.034565
1.665542	0.035271
1.665524	0.035976
1.665505	0.036681
1.665486	0.037386
1.665467	0.038092
1.665447	0.038797
1.665427	0.039502
1.665407	0.040207
1.665386	0.040913
1.665365	0.041618
1.665344	0.042323
1.665322	0.043028
1.665300	0.043733
1.665277	0.044439
1.665254	0.045144
1.665231	0.045849
1.665208	0.046554
1.665184	0.047259
1.665159	0.047964
1.665135	0.048669
1.665110	0.049375
1.665084	0.050080
1.665059	0.050785
1.665032	0.051490
1.665006	0.052195
1.664979	0.052900
1.664952	0.053605
1.664924	0.054310
1.664896	0.055015
1.664868	0.055720
1.664840	0.056425
1.664811	0.057130
1.664781	0.057835
1.664751	0.058540
1.664721	0.059245
1.664691	0.059950
1.664660	0.060655
1.664629	0.061360
1.664597	0.062065
1.664566	0.062769
1.664533	0.063474
1.664501	0.064179
1.664468	0.064884
1.664434	0.065589
1.664401	0.066294
1.664367	0.066998
1.664332	0.067703
1.664298	0.068408
1.664263	0.069113
1.664227	0.069817
1.664191	0.070522
1.664155	0.071227
1.664118	0.071932
1.664082	0.072636
1.664044	0.073341
1.664007	0.074045
1.663969	0.074750
1.663930	0.075455
1.663892	0.076159
1.663852	0.076864
1.663813	0.077568
1.663773	0.078273
1.663733	0.078978
