POSICION_X	POSICION_Y
0.466694	0.000000
0.466465	0.011882
0.465776	0.023752
0.464628	0.035599
0.463021	0.047411
0.460955	0.059175
0.458429	0.070881
0.455445	0.082516
0.452001	0.094067
0.448098	0.105523
0.443735	0.116871
0.438913	0.128098
0.433632	0.139190
0.427892	0.150136
0.421693	0.160920
0.415036	0.171529
0.407920	0.181949
0.400347	0.192165
0.392316	0.202162
0.383829	0.211923
0.374887	0.221433
0.365490	0.230674
0.355641	0.239630
0.345340	0.248282
0.334591	0.256611
0.323396	0.264598
0.311757	0.272222
0.299679	0.279462
0.287165	0.286296
0.274221	0.292701
0.260851	0.298652
0.247063	0.304124
0.232864	0.309091
0.218264	0.313524
0.203272	0.317395
0.187900	0.320673
0.172163	0.323326
0.156075	0.325322
0.139655	0.326625
0.122923	0.327199
0.105904	0.327008
0.088624	0.326010
0.071114	0.324168
0.053409	0.321439
0.035550	0.317780
0.017583	0.313150
-0.000442	0.307504
-0.018465	0.300801
-0.036420	0.292999
-0.054234	0.284059
-0.071824	0.273944
-0.089098	0.262624
-0.105954	0.250072
-0.122280	0.236271
-0.137958	0.221216
-0.152857	0.204913
-0.166841	0.187383
-0.179768	0.168667
-0.191496	0.148824
-0.201881	0.127939
-0.210787	0.106117
-0.218090	0.083487
-0.223681	0.060202
-0.227471	0.036432
-0.229402	0.012364
-0.229440	-0.011805
-0.227587	-0.035877
-0.223873	-0.059656
-0.218359	-0.082955
-0.211131	-0.105603
-0.202299	-0.127449
-0.191987	-0.148363
-0.180331	-0.168237
-0.167473	-0.186991
-0.153556	-0.204562
-0.138722	-0.220911
-0.123106	-0.236016
-0.106837	-0.249869
-0.090036	-0.262478
-0.072814	-0.273858
-0.055271	-0.284034
-0.037500	-0.293039
-0.019584	-0.300906
-0.001597	-0.307677
0.016397	-0.313391
0.034337	-0.318091
0.052172	-0.321820
0.069857	-0.324620
0.087351	-0.326533
0.104619	-0.327601
0.121630	-0.327864
0.138356	-0.327359
0.154775	-0.326126
0.170864	-0.324199
0.186606	-0.321613
0.201985	-0.318401
0.216987	-0.314596
0.231601	-0.310227
0.245815	-0.305323
0.259622	-0.299913
0.273012	-0.294021
0.285980	-0.287675
0.298519	-0.280897
0.310625	-0.273712
0.322293	-0.266141
0.333520	-0.258205
0.344302	-0.249925
0.354637	-0.241321
0.364522	-0.232410
0.373957	-0.223213
0.382939	-0.213744
0.391466	-0.204023
0.399539	-0.194064
0.407156	-0.183883
0.414316	-0.173497
0.421019	-0.162919
0.427264	-0.152164
0.433051	-0.141245
0.438380	-0.130177
0.443250	-0.118973
0.447662	-0.107646
0.451615	-0.096209
0.455110	-0.084674
0.458145	-0.073053
0.460722	-0.061360
0.462840	-0.049605
0.464499	-0.037801
0.465698	-0.025959
0.466439	-0.014093
0.466721	-0.002212
0.466544	0.009671
0.465907	0.021545
0.464811	0.033397
0.463256	0.045216
0.461242	0.056991
0.458768	0.068708
0.455834	0.080357
0.452440	0.091925
0.448587	0.103399
0.444273	0.114768
0.439500	0.126017
0.434267	0.137135
0.428574	0.148107
0.422421	0.158921
0.415809	0.169561
0.408738	0.180014
0.401207	0.190266
0.393218	0.200299
0.384772	0.210100
0.375869	0.219651
0.366510	0.228936
0.356697	0.237937
0.346431	0.246637
0.335715	0.255015
0.324551	0.263053
0.312941	0.270730
0.300890	0.278025
0.288401	0.284916
0.275480	0.291379
0.262131	0.297390
0.248361	0.302923
0.234178	0.307952
0.219590	0.312449
0.204608	0.316385
0.189244	0.319730
0.173511	0.322450
0.157424	0.324514
0.141002	0.325887
0.124265	0.326531
0.107237	0.326409
0.089944	0.325482
0.072418	0.323710
0.054693	0.321051
0.036811	0.317462
0.018815	0.312900
0.000759	0.307323
-0.017299	0.300687
-0.035294	0.292950
-0.053152	0.284073
-0.070789	0.274019
-0.088113	0.262756
-0.105023	0.250259
-0.121408	0.236511
-0.137146	0.221504
-0.152109	0.205245
-0.166159	0.187755
-0.179155	0.169075
-0.190952	0.149264
-0.201409	0.128406
-0.210388	0.106606
-0.217764	0.083994
-0.223428	0.060722
-0.227294	0.036962
-0.229299	0.012899
-0.229412	-0.011270
-0.227633	-0.035346
-0.223993	-0.059133
-0.218553	-0.082445
-0.211400	-0.105111
-0.202640	-0.126978
-0.192400	-0.147918
-0.180814	-0.167824
-0.168024	-0.186612
-0.154174	-0.204223
-0.139403	-0.220616
-0.123848	-0.235768
-0.107638	-0.249673
-0.090892	-0.262335
-0.073720	-0.273773
-0.056225	-0.284010
-0.038498	-0.293076
-0.020622	-0.301009
-0.002671	-0.307845
0.015291	-0.313626
0.033203	-0.318395
0.051014	-0.322193
0.068678	-0.325062
0.086155	-0.327046
0.103410	-0.328183
0.120411	-0.328515
0.137132	-0.328080
0.153547	-0.326915
0.169637	-0.325056
0.185382	-0.322538
0.200768	-0.319393
0.215780	-0.315652
0.230406	-0.311347
0.244635	-0.306506
0.258459	-0.301156
0.271869	-0.295324
0.284859	-0.289036
0.297423	-0.282315
0.309555	-0.275184
0.321252	-0.267666
0.332509	-0.259781
0.343323	-0.251550
0.353692	-0.242993
0.363614	-0.234128
0.373085	-0.224974
0.382106	-0.215547
0.390674	-0.205865
0.398788	-0.195944
0.406447	-0.185799
0.413650	-0.175446
0.420398	-0.164899
0.426689	-0.154173
0.432522	-0.143282
0.437899	-0.132239
0.442817	-0.121058
0.447278	-0.109752
0.451281	-0.098333
0.454825	-0.086815
0.457911	-0.075208
0.460539	-0.063527
0.462708	-0.051782
0.464418	-0.039986
0.465669	-0.028150
0.466462	-0.016287
0.466796	-0.004407
0.466670	0.007477
0.466086	0.019353
0.465042	0.031211
0.463538	0.043037
0.461575	0.054821
0.459152	0.066551
0.456269	0.078213
0.452925	0.089797
0.449121	0.101290
0.444857	0.112678
0.440133	0.123950
0.434947	0.135093
0.429301	0.146092
0.423194	0.156934
0.416627	0.167606
0.409600	0.178092
0.402112	0.188379
0.394165	0.198450
0.385759	0.208290
0.376895	0.217882
0.367574	0.227211
0.357797	0.236257
0.347566	0.245004
0.336883	0.253431
0.325750	0.261520
0.314170	0.269250
0.302146	0.276600
0.289682	0.283546
0.276784	0.290067
0.263455	0.296137
0.249704	0.301732
0.235536	0.306823
0.220962	0.311385
0.205990	0.315386
0.190633	0.318797
0.174905	0.321585
0.158819	0.323717
0.142395	0.325158
0.125653	0.325872
0.108616	0.325820
0.091311	0.324964
0.073769	0.323262
0.056024	0.320673
0.038118	0.317154
0.020095	0.312661
0.002008	0.307152
-0.016086	0.300582
-0.034120	0.292910
-0.052020	0.284096
-0.069704	0.274103
-0.087079	0.262899
-0.104044	0.250457
-0.120486	0.236761
-0.136285	0.221803
-0.151310	0.205588
-0.165427	0.188139
-0.178490	0.169495
-0.190358	0.149716
-0.200886	0.128885
-0.209938	0.107108
-0.217387	0.084514
-0.223126	0.061256
-0.227066	0.037505
-0.229145	0.013448
-0.229333	-0.010721
-0.227630	-0.034801
-0.224065	-0.058596
-0.218699	-0.081920
-0.211619	-0.104603
-0.202933	-0.126492
-0.192764	-0.147457
-0.181249	-0.167394
-0.168528	-0.186217
-0.154745	-0.203868
-0.140038	-0.220304
-0.124545	-0.235504
-0.108393	-0.249460
-0.091701	-0.262177
-0.074582	-0.273672
-0.057135	-0.283969
-0.039452	-0.293098
-0.021616	-0.301095
-0.003700	-0.307997
0.014228	-0.313846
0.032112	-0.318683
0.049899	-0.322550
0.067542	-0.325489
0.085002	-0.327543
0.102244	-0.328750
0.119235	-0.329152
0.135949	-0.328786
0.152362	-0.327690
0.168452	-0.325900
0.184201	-0.323448
0.199593	-0.320369
0.214614	-0.316694
0.229252	-0.312453
0.243496	-0.307674
0.257337	-0.302386
0.270767	-0.296614
0.283779	-0.290383
0.296367	-0.283719
0.308526	-0.276643
0.320251	-0.269177
0.331538	-0.261344
0.342385	-0.253163
0.352788	-0.244653
0.362745	-0.235834
0.372254	-0.226724
0.381313	-0.217339
0.389921	-0.207697
0.398076	-0.197813
0.405778	-0.187704
0.413025	-0.177384
0.419817	-0.166869
0.426153	-0.156173
0.432034	-0.145309
0.437458	-0.134292
0.442424	-0.123134
0.446934	-0.111848
0.450986	-0.100449
0.454580	-0.088947
0.457717	-0.077355
0.460395	-0.065686
0.462616	-0.053951
0.464378	-0.042163
0.465681	-0.030333
0.466526	-0.018474
0.466912	-0.006596
0.466838	0.005289
0.466306	0.017168
0.465314	0.029031
0.463862	0.040864
0.461950	0.052658
0.459579	0.064399
0.456746	0.076075
0.453453	0.087675
0.449700	0.099185
0.445485	0.110594
0.440809	0.121889
0.435672	0.133056
0.430073	0.144081
0.424013	0.154953
0.417491	0.165655
0.410508	0.176174
0.403064	0.186496
0.395159	0.196604
0.386795	0.206483
0.377970	0.216117
0.368688	0.225489
0.358948	0.234580
0.348752	0.243374
0.338102	0.251851
0.327001	0.259991
0.315451	0.267773
0.303455	0.275177
0.291017	0.282181
0.278142	0.288759
0.264835	0.294889
0.251102	0.300545
0.236951	0.305699
0.222390	0.310325
0.207430	0.314391
0.192081	0.317869
0.176357	0.320725
0.160274	0.322926
0.143849	0.324436
0.127102	0.325220
0.110057	0.325239
0.092740	0.324454
0.075183	0.322823
0.057420	0.320305
0.039491	0.316856
0.021441	0.312434
0.003323	0.306993
-0.014805	0.300491
-0.032878	0.292886
-0.050822	0.284136
-0.068552	0.274206
-0.085977	0.263061
-0.102996	0.250676
-0.119495	0.237033
-0.135355	0.222125
-0.150445	0.205957
-0.164627	0.188550
-0.177760	0.169944
-0.189699	0.150198
-0.200299	0.129396
-0.209425	0.107643
-0.216949	0.085069
-0.222764	0.061826
-0.226780	0.038085
-0.228936	0.014033
-0.229201	-0.010134
-0.227574	-0.034217
-0.224086	-0.058021
-0.218796	-0.081358
-0.211792	-0.104058
-0.203181	-0.125969
-0.193086	-0.146962
-0.181643	-0.166929
-0.168992	-0.185789
-0.155276	-0.203480
-0.140635	-0.219961
-0.125203	-0.235209
-0.109110	-0.249217
-0.092474	-0.261990
-0.075407	-0.273544
-0.058008	-0.283902
-0.040369	-0.293094
-0.022573	-0.301157
-0.004694	-0.308126
0.013202	-0.314043
0.031057	-0.318949
0.048819	-0.322886
0.066442	-0.325896
0.083886	-0.328020
0.101114	-0.329298
0.118096	-0.329771
0.134803	-0.329475
0.151213	-0.328448
0.167304	-0.326726
0.183056	-0.324342
0.198455	-0.321330
0.213486	-0.317720
0.228136	-0.313543
0.242395	-0.308828
0.256254	-0.303601
0.269704	-0.297889
0.282738	-0.291717
0.295351	-0.285109
0.307536	-0.278088
0.319290	-0.270676
0.330608	-0.262894
0.341487	-0.254763
0.351924	-0.246301
0.361917	-0.237528
0.371463	-0.228461
0.380561	-0.219118
0.389209	-0.209516
0.397406	-0.199670
0.405150	-0.189597
0.412441	-0.179312
0.419279	-0.168828
0.425661	-0.158161
0.431588	-0.147325
0.437059	-0.136333
0.442075	-0.125199
0.446633	-0.113935
0.450735	-0.102554
0.454380	-0.091069
0.457567	-0.079492
0.460297	-0.067836
0.462569	-0.056111
0.464383	-0.044332
0.465738	-0.032508
0.466635	-0.020652
0.467073	-0.008776
0.467052	0.003109
0.466572	0.014991
0.465632	0.026859
0.464232	0.038700
0.462372	0.050502
0.460052	0.062255
0.457271	0.073945
0.454029	0.085560
0.450325	0.097089
0.446160	0.108518
0.441533	0.119834
0.436444	0.131025
0.430893	0.142078
0.424879	0.152978
0.418403	0.163711
0.411465	0.174263
0.404065	0.184620
0.396203	0.194765
0.387879	0.204683
0.379095	0.214358
0.369850	0.223773
0.360147	0.232910
0.349987	0.241751
0.339371	0.250276
0.328301	0.258467
0.316781	0.266303
0.304813	0.273762
0.292401	0.280821
0.279550	0.287458
0.266264	0.293648
0.252550	0.299365
0.238416	0.304582
0.223869	0.309271
0.208920	0.313403
0.193579	0.316947
0.177861	0.319871
0.161779	0.322140
0.145353	0.323720
0.128601	0.324574
0.111548	0.324664
0.094220	0.323949
0.076647	0.322389
0.058865	0.319942
0.040913	0.316564
0.022837	0.312211
0.004688	0.306839
-0.013476	0.300405
-0.031587	0.292865
-0.049573	0.284180
-0.067350	0.274311
-0.084826	0.263225
-0.101898	0.250897
-0.118455	0.237307
-0.134375	0.222448
-0.149528	0.206325
-0.163777	0.188959
-0.176978	0.170390
-0.188986	0.150677
-0.199659	0.129903
-0.208857	0.108174
-0.216455	0.085619
-0.222344	0.062390
-0.226435	0.038659
-0.228666	0.014613
-0.229006	-0.009553
-0.227454	-0.033640
-0.224041	-0.057450
-0.218827	-0.080800
-0.211896	-0.103516
-0.203358	-0.125448
-0.193336	-0.146467
-0.181964	-0.166465
-0.169382	-0.185359
-0.155733	-0.203089
-0.141156	-0.219613
-0.125787	-0.234909
-0.109752	-0.248967
-0.093172	-0.261794
-0.076156	-0.273405
-0.058805	-0.283823
-0.041211	-0.293077
-0.023456	-0.301203
-0.005614	-0.308239
0.012250	-0.314223
0.030076	-0.319197
0.047813	-0.323203
0.065414	-0.326282
0.082840	-0.328476
0.100055	-0.329824
0.117026	-0.330366
0.133727	-0.330139
0.150133	-0.329181
0.166223	-0.327527
0.181979	-0.325210
0.197383	-0.322264
0.212423	-0.318720
0.227084	-0.314606
0.241358	-0.309953
0.255233	-0.304788
0.268702	-0.299135
0.281758	-0.293022
0.294394	-0.286470
0.306606	-0.279504
0.318388	-0.272146
0.329736	-0.264415
0.340646	-0.256333
0.351117	-0.247920
0.361145	-0.239192
0.370728	-0.230169
0.379864	-0.220869
0.388551	-0.211306
0.396789	-0.201499
0.404576	-0.191461
0.411910	-0.181210
0.418791	-0.170758
0.425219	-0.160121
0.431193	-0.149313
0.436711	-0.138346
0.441774	-0.127235
0.446381	-0.115992
0.450532	-0.104631
0.454227	-0.093163
0.457465	-0.081601
0.460245	-0.069957
0.462568	-0.058244
0.464433	-0.046472
0.465840	-0.034655
0.466789	-0.022803
0.467279	-0.010928
0.467310	0.000957
0.466882	0.012842
0.465994	0.024714
0.464646	0.036561
0.462838	0.048373
0.460569	0.060136
0.457838	0.071840
0.454647	0.083471
0.450993	0.095017
0.446877	0.106466
0.442299	0.117805
0.437258	0.129020
0.431755	0.140099
0.425787	0.151027
0.419357	0.161791
0.412463	0.172376
0.405107	0.182767
0.397287	0.192949
0.389004	0.202907
0.380260	0.212622
0.371054	0.222080
0.361388	0.231262
0.351263	0.240150
0.340680	0.248724
0.329643	0.256966
0.318152	0.264854
0.306212	0.272367
