POSICION_X	POSICION_Y
0.728227	0.000000
0.728133	0.011639
0.727850	0.023275
0.727379	0.034905
0.726719	0.046526
0.725871	0.058134
0.724836	0.069728
0.723612	0.081304
0.722201	0.092859
0.720603	0.104389
0.718818	0.115893
0.716848	0.127366
0.714691	0.138807
0.712349	0.150211
0.709823	0.161577
0.707112	0.172901
0.704219	0.184179
0.701143	0.195411
0.697884	0.206591
0.694445	0.217718
0.690826	0.228788
0.687028	0.239799
0.683051	0.250748
0.678897	0.261632
0.674566	0.272448
0.670061	0.283193
0.665381	0.293864
0.660529	0.304459
0.655505	0.314975
0.650310	0.325409
0.644946	0.335759
0.639415	0.346021
0.633717	0.356193
0.627854	0.366272
0.621828	0.376256
0.615640	0.386142
0.609291	0.395928
0.602784	0.405610
0.596119	0.415186
0.589299	0.424654
0.582325	0.434012
0.575200	0.443256
0.567924	0.452384
0.560499	0.461394
0.552928	0.470283
0.545213	0.479050
0.537355	0.487691
0.529356	0.496205
0.521219	0.504588
0.512945	0.512840
0.504537	0.520957
0.495996	0.528937
0.487326	0.536779
0.478527	0.544480
0.469603	0.552038
0.460556	0.559451
0.451388	0.566717
0.442101	0.573834
0.432697	0.580800
0.423180	0.587613
0.413551	0.594271
0.403813	0.600773
0.393969	0.607116
0.384021	0.613299
0.373972	0.619321
0.363823	0.625178
0.353579	0.630871
0.343241	0.636397
0.332813	0.641754
0.322296	0.646941
0.311694	0.651958
0.301010	0.656801
0.290245	0.661470
0.279404	0.665964
0.268488	0.670281
0.257501	0.674420
0.246446	0.678380
0.235325	0.682159
0.224142	0.685756
0.212898	0.689172
0.201598	0.692403
0.190245	0.695450
0.178840	0.698311
0.167388	0.700986
0.155891	0.703473
0.144353	0.705773
0.132776	0.707883
0.121163	0.709805
0.109518	0.711536
0.097844	0.713076
0.086143	0.714425
0.074419	0.715583
0.062676	0.716548
0.050915	0.717320
0.039141	0.717900
0.027356	0.718287
0.015564	0.718480
0.003767	0.718480
-0.008030	0.718286
-0.019825	0.717898
-0.031615	0.717316
-0.043396	0.716541
-0.055166	0.715572
-0.066920	0.714409
-0.078657	0.713053
-0.090372	0.711503
-0.102062	0.709761
-0.113725	0.707827
-0.125357	0.705700
-0.136955	0.703382
-0.148516	0.700872
-0.160036	0.698172
-0.171513	0.695282
-0.182943	0.692203
-0.194324	0.688935
-0.205651	0.685479
-0.216922	0.681836
-0.228134	0.678007
-0.239283	0.673993
-0.250368	0.669794
-0.261383	0.665413
-0.272327	0.660849
-0.283197	0.656105
-0.293989	0.651180
-0.304700	0.646077
-0.315328	0.640797
-0.325869	0.635341
-0.336321	0.629710
-0.346680	0.623906
-0.356944	0.617931
-0.367109	0.611786
-0.377174	0.605472
-0.387134	0.598992
-0.396988	0.592346
-0.406733	0.585537
-0.416365	0.578567
-0.425882	0.571436
-0.435281	0.564148
-0.444560	0.556704
-0.453717	0.549106
-0.462747	0.541356
-0.471650	0.533456
-0.480422	0.525409
-0.489061	0.517216
-0.497564	0.508879
-0.505929	0.500402
-0.514154	0.491785
-0.522236	0.483032
-0.530173	0.474145
-0.537963	0.465126
-0.545603	0.455978
-0.553091	0.446703
-0.560425	0.437304
-0.567604	0.427782
-0.574624	0.418142
-0.581484	0.408386
-0.588182	0.398515
-0.594716	0.388534
-0.601085	0.378444
-0.607285	0.368248
-0.613316	0.357950
-0.619176	0.347552
-0.624863	0.337056
-0.630375	0.326467
-0.635711	0.315786
-0.640869	0.305017
-0.645848	0.294163
-0.650647	0.283226
-0.655263	0.272211
-0.659696	0.261119
-0.663944	0.249954
-0.668006	0.238719
-0.671881	0.227417
-0.675568	0.216051
-0.679066	0.204625
-0.682373	0.193141
-0.685489	0.181604
-0.688413	0.170015
-0.691144	0.158379
-0.693681	0.146698
-0.696023	0.134977
-0.698170	0.123217
-0.700121	0.111423
-0.701876	0.099598
-0.703434	0.087744
-0.704794	0.075866
-0.705957	0.063967
-0.706921	0.052050
-0.707687	0.040118
-0.708254	0.028175
-0.708622	0.016224
-0.708791	0.004268
-0.708762	-0.007689
-0.708533	-0.019643
-0.708105	-0.031592
-0.707479	-0.043533
-0.706654	-0.055461
-0.705631	-0.067373
-0.704409	-0.079267
-0.702990	-0.091138
-0.701374	-0.102983
-0.699560	-0.114800
-0.697551	-0.126585
-0.695345	-0.138334
-0.692945	-0.150044
-0.690350	-0.161712
-0.687561	-0.173335
-0.684580	-0.184909
-0.681407	-0.196431
-0.678043	-0.207899
-0.674488	-0.219308
-0.670745	-0.230655
-0.666814	-0.241938
-0.662696	-0.253153
-0.658392	-0.264297
-0.653904	-0.275368
-0.649233	-0.286361
-0.644380	-0.297274
-0.639348	-0.308104
-0.634136	-0.318848
-0.628747	-0.329502
-0.623182	-0.340065
-0.617443	-0.350532
-0.611532	-0.360902
-0.605450	-0.371171
-0.599198	-0.381336
-0.592780	-0.391395
-0.586196	-0.401345
-0.579449	-0.411183
-0.572541	-0.420906
-0.565472	-0.430512
-0.558247	-0.439998
-0.550866	-0.449361
-0.543331	-0.458600
-0.535646	-0.467711
-0.527811	-0.476692
-0.519830	-0.485540
-0.511704	-0.494254
-0.503437	-0.502830
-0.495029	-0.511267
-0.486485	-0.519562
-0.477805	-0.527713
-0.468993	-0.535718
-0.460051	-0.543575
-0.450981	-0.551281
-0.441787	-0.558834
-0.432471	-0.566233
-0.423035	-0.573475
-0.413482	-0.580559
-0.403815	-0.587483
-0.394037	-0.594245
-0.384150	-0.600842
-0.374157	-0.607275
-0.364060	-0.613539
-0.353864	-0.619635
-0.343570	-0.625561
-0.333182	-0.631314
-0.322702	-0.636894
-0.312133	-0.642299
-0.301479	-0.647528
-0.290742	-0.652579
-0.279925	-0.657451
-0.269031	-0.662143
-0.258064	-0.666653
-0.247026	-0.670981
-0.235921	-0.675126
-0.224751	-0.679086
-0.213519	-0.682861
-0.202229	-0.686449
-0.190884	-0.689850
-0.179487	-0.693062
-0.168041	-0.696086
-0.156549	-0.698921
-0.145015	-0.701565
-0.133441	-0.704019
-0.121831	-0.706281
-0.110187	-0.708351
-0.098514	-0.710229
-0.086814	-0.711915
-0.075090	-0.713407
-0.063346	-0.714707
-0.051585	-0.715813
-0.039810	-0.716725
-0.028024	-0.717443
-0.016230	-0.717968
-0.004432	-0.718299
0.007367	-0.718436
0.019164	-0.718379
0.030957	-0.718129
0.042741	-0.717685
0.054513	-0.717048
0.066271	-0.716219
0.078011	-0.715197
0.089730	-0.713983
0.101425	-0.712577
0.113093	-0.710980
0.124731	-0.709193
0.136336	-0.707216
0.147904	-0.705049
0.159432	-0.702694
0.170918	-0.700151
0.182358	-0.697421
0.193750	-0.694505
0.205090	-0.691403
0.216375	-0.688117
0.227603	-0.684648
0.238770	-0.680996
0.249874	-0.677163
0.260911	-0.673151
0.271879	-0.668959
0.282775	-0.664589
0.293595	-0.660043
0.304338	-0.655322
0.315001	-0.650427
0.325579	-0.645360
0.336072	-0.640122
0.346476	-0.634714
0.356788	-0.629138
0.367006	-0.623396
0.377127	-0.617490
0.387149	-0.611420
0.397068	-0.605189
0.406883	-0.598798
0.416590	-0.592250
0.426188	-0.585545
0.435673	-0.578686
0.445044	-0.571675
0.454298	-0.564513
0.463433	-0.557203
0.472445	-0.549747
0.481334	-0.542146
0.490097	-0.534403
0.498730	-0.526519
0.507234	-0.518498
0.515604	-0.510340
0.523839	-0.502049
0.531937	-0.493626
0.539896	-0.485074
0.547713	-0.476395
0.555388	-0.467592
0.562917	-0.458666
0.570299	-0.449620
0.577532	-0.440457
0.584615	-0.431178
0.591544	-0.421788
0.598320	-0.412287
0.604940	-0.402678
0.611402	-0.392965
0.617704	-0.383149
0.623846	-0.373233
0.629825	-0.363220
0.635641	-0.353113
0.641291	-0.342913
0.646774	-0.332625
0.652089	-0.322249
0.657234	-0.311790
0.662209	-0.301250
0.667012	-0.290632
0.671641	-0.279938
0.676096	-0.269171
0.680376	-0.258335
0.684478	-0.247431
0.688404	-0.236463
0.692150	-0.225434
0.695717	-0.214346
0.699104	-0.203202
0.702310	-0.192006
0.705333	-0.180760
0.708174	-0.169467
0.710831	-0.158130
0.713303	-0.146753
0.715591	-0.135337
0.717694	-0.123886
0.719611	-0.112403
0.721341	-0.100891
0.722885	-0.089352
0.724241	-0.077791
0.725410	-0.066209
0.726392	-0.054610
0.727185	-0.042997
0.727789	-0.031373
0.728206	-0.019741
0.728434	-0.008104
0.728473	0.003536
0.728324	0.015175
0.727986	0.026809
0.727460	0.038437
0.726746	0.050055
0.725843	0.061660
0.724752	0.073249
0.723474	0.084819
0.722009	0.096367
0.720356	0.107890
0.718518	0.119385
0.716492	0.130849
0.714282	0.142279
0.711886	0.153673
0.709306	0.165026
0.706542	0.176337
0.703595	0.187602
0.700466	0.198819
0.697155	0.209984
0.693663	0.221094
0.689992	0.232148
0.686141	0.243141
0.682113	0.254070
0.677907	0.264934
0.673526	0.275730
0.668969	0.286453
0.664239	0.297102
0.659337	0.307674
0.654263	0.318166
0.649019	0.328576
0.643606	0.338899
0.638026	0.349135
0.632280	0.359280
0.626370	0.369331
0.620296	0.379286
0.614061	0.389143
0.607666	0.398898
0.601113	0.408549
0.594403	0.418093
0.587538	0.427529
0.580520	0.436853
0.573350	0.446063
0.566031	0.455156
0.558564	0.464130
0.550951	0.472984
0.543194	0.481713
0.535295	0.490317
0.527256	0.498792
0.519079	0.507136
0.510766	0.515348
0.502319	0.523425
