100,1,11.7343
100,2,8.12643
100,3,7.12777
100,4,6.01858
100,5,6.44647
100,6,7.77066
200,1,46.5978
200,2,26.4155
200,3,23.4793
200,4,20.8327
200,5,22.3773
200,6,20.3199
300,1,92.006
300,2,57.252
300,3,46.345
300,4,41.1377
300,5,44.1309
300,6,39.7013
400,1,171.133
400,2,104.078
400,3,81.8943
400,4,75.2464
400,5,73.943
400,6,67.4666
500,1,276.025
500,2,150.139
500,3,120.249
500,4,105.567
500,5,111.419
500,6,101.495
600,1,396.172
600,2,214.171
600,3,171.082
600,4,151.927
600,5,155.275
600,6,141.525
700,1,546.372
700,2,298.632
700,3,242.081
700,4,199.422
700,5,212.031
700,6,191.567
800,1,711.031
800,2,427.773
800,3,368.659
800,4,329.733
800,5,280.618
800,6,247.409
900,1,929.262
900,2,613.805
900,3,404.321
900,4,372.725
900,5,355.68
900,6,330.449
